101,35,3,2,false,true,null,null,true,https://vwartclub.com/media/projects/3322/1.jpg
102,40,4,3,false,false,27/04/2022,29/04/2022,false,https://vwartclub.com/media/projects/3322/1.jpg
103,40,2,1,true,true,null,29/04/2022,true,https://vwartclub.com/media/projects/3322/1.jpg
104,20,1,1,false,false,27/04/2022,29/04/2022,true,https://vwartclub.com/media/projects/3322/1.jpg
105,35,4,4,false,false,27/04/2022,29/04/2022,false,https://vwartclub.com/media/projects/3322/1.jpg
201,30,3,3,false,true,null,null,true,https://vwartclub.com/media/projects/3322/1.jpg
202,5,2,1,true,false,27/04/2022,29/04/2022,true,https://vwartclub.com/media/projects/3322/1.jpg
203,35,2,2,true,false,27/04/2022,29/04/2022,false,https://vwartclub.com/media/projects/3322/1.jpg
204,25,1,1,true,false,27/04/2022,29/04/2022,true,https://vwartclub.com/media/projects/3322/1.jpg
205,40,3,2,false,true,null,null,false,https://vwartclub.com/media/projects/3322/1.jpg
